word,position,total_w,JJ,NN,NNP,NNS,VBP
plant,1.0,3.0,0,1,0,0,0
USA,2.0,3.0,0,0,1,0,0
site-customer-duns,1.0,3.0,0,0,0,1,0
India,2.0,3.0,0,0,1,0,0
IBOT,1.0,2.0,0,0,1,0,0
service-now,1.0,7.0,1,0,0,0,0
ticket,2.0,7.0,0,1,0,0,0
migration,4.0,7.0,0,1,0,0,0
Talend,5.0,7.0,0,0,1,0,0
Jobs,6.0,7.0,0,0,1,0,0
Bye,0.0,1.0,0,1,0,0,0
meaning,1.0,3.0,0,1,0,0,0
Service-now,2.0,3.0,1,0,0,0,0
weather,1.0,3.0,0,0,0,0,1
new-york,2.0,3.0,0,1,0,0,0
weather,1.0,3.0,0,0,0,0,1
bangalore,2.0,3.0,0,1,0,0,0
ticket,1.0,3.0,0,1,0,0,0
user1,2.0,3.0,0,1,0,0,0
site-customer-duns,1.0,3.0,1,0,0,0,0
india,2.0,3.0,0,1,0,0,0
weather,1.0,4.0,0,0,0,0,1
charlotte,3.0,4.0,0,1,0,0,0
train,1.0,7.0,0,1,0,0,0
block,3.0,7.0,0,1,0,0,0
equipment,5.0,7.0,0,1,0,0,0
india,6.0,7.0,0,1,0,0,0
owner-name,1.0,3.0,0,1,0,0,0
us12341233,2.0,3.0,0,1,0,0,0
